state_fips,state_name,state_abbrev.x,county_fips,county_name.x,fips,location,area_sqmi,total_pop,housing_units,num_households,poverty,unemployment,housing_cost_burden,no_highschool,uninsured,age_over_65,age_under_17,disabilities,single_parent,limited_english,minority,multi_unit_housing,mobile_homes,crowded_housing,no_vehicle,group_quarters,state_abbrev.y,state_desc,county_name.y,total_population,lack_insurence_prev,binge_drinking_prev,high_bp_prev,cancer_prev,adult_asthma_prev,heart_disease_prev,routine_physical_prev,copd_prev,smoking_prev,diabetes_prev,high_chol_prev,physical_activity_prev,adult_obesity_prev,poor_sleep_prev,stroke_prev,geolocation
11,District of Columbia,DC,11001,District of Columbia,11001000101,Census Tract 1.01; District of Columbia; District of Columbia,0.077133913152,1097,841,738,47,0,122,12,22,317,78,55,0,0,298,525,0,4,293,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,District of Columbia,DC,11001,District of Columbia,11001001002,Census Tract 10.02; District of Columbia; District of Columbia,0.343523443644,3438,2344,2032,562,10,560,0,14,401,516,88,92,32,872,975,0,110,462,0,DC,District of Columbia,District of Columbia,3442,5.1,25.5,16.9,3.9,9.7,2.4,63.2,2.6,9,3.6,21.6,11.2,16.8,25.9,1.3,POINT (-77.078887 38.93842849)
11,District of Columbia,DC,11001,District of Columbia,11001001003,Census Tract 10.03; District of Columbia; District of Columbia,0.37932977092,2989,1132,1132,216,30,67,27,0,527,895,49,73,141,827,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,District of Columbia,DC,11001,District of Columbia,11001001004,Census Tract 10.04; District of Columbia; District of Columbia,0.5683131863499999,4015,1696,1594,549,11,237,47,32,962,993,356,53,0,999,497,0,0,407,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,District of Columbia,DC,11001,District of Columbia,11001001100,Census Tract 11; District of Columbia; District of Columbia,0.6473579183,4727,2356,2109,442,59,381,74,82,1247,835,436,51,38,1427,1269,0,0,551,91,DC,District of Columbia,District of Columbia,4779,3.3,20.7,25.9,8,8.3,4.2,70.2,2.9,6.2,5.6,32.2,10.2,16.7,23.6,2,POINT (-77.07767045 38.95722636)
11,District of Columbia,DC,11001,District of Columbia,11001001200,Census Tract 12; District of Columbia; District of Columbia,0.470737102808,4919,2642,2519,432,192,681,35,28,1089,748,449,73,89,1353,1621,0,25,788,33,DC,District of Columbia,District of Columbia,5008,4,24,20.6,5.7,8.6,3.1,65.9,2.5,7.1,4.3,26.9,9.8,16.5,24.6,1.5,POINT (-77.07051784 38.94622543)
11,District of Columbia,DC,11001,District of Columbia,11001001301,Census Tract 13.01; District of Columbia; District of Columbia,1.102514647102,4041,2138,2080,478,176,595,19,115,862,565,272,47,6,1454,1676,0,0,687,61,DC,District of Columbia,District of Columbia,3955,4,23,21.3,6,8.8,3.3,66.9,2.6,6.8,4.5,26.7,10.2,16.4,24.7,1.7,POINT (-77.05447563 38.9538104)
11,District of Columbia,DC,11001,District of Columbia,11001001303,Census Tract 13.03; District of Columbia; District of Columbia,0.34346900326199997,3580,2329,2279,579,82,554,68,47,770,155,399,39,0,972,2033,0,55,708,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,District of Columbia,DC,11001,District of Columbia,11001001304,Census Tract 13.04; District of Columbia; District of Columbia,0.27303395981,4172,3015,2796,269,124,653,32,49,658,168,405,20,0,1359,2655,0,54,710,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,District of Columbia,DC,11001,District of Columbia,11001001401,Census Tract 14.01; District of Columbia; District of Columbia,0.30428505569,3326,1393,1329,121,55,188,28,32,583,872,144,9,54,1303,554,0,54,260,6,DC,District of Columbia,District of Columbia,3078,3.7,22.2,23.6,6.8,8.5,3.6,68.3,2.8,7,5,30.4,10,17.3,24.6,1.7,POINT (-77.07056585 38.96528329)
11,District of Columbia,DC,11001,District of Columbia,11001001402,Census Tract 14.02; District of Columbia; District of Columbia,0.345641985318,3472,1677,1573,194,25,179,86,2,988,888,343,104,33,1455,759,0,0,301,48,DC,District of Columbia,District of Columbia,2998,4.2,18.8,30,8.9,8.4,5.4,71.9,3.7,7.4,6.8,33.6,12.6,17.8,24.6,2.7,POINT (-77.06309911 38.96059163)
