fips,location,unw_cent_long,unw_cent_lat,est_population,non_his,white,black,amer_indian,asian,hawaiian,other,two_or_more,hispanic,educated,med_income,below_pov,high_school,college,labor_participation,non_white,redlining,asthma_prev,smoking_prev,obesity_prev,copd_prev,particulate_matter,housing_stress
11001000101,Census Tract 1.01; District of Columbia; District of Columbia,-77.0547246,38.9085885,1181,92.3793395427604,70.8721422523285,4.91109229466554,0,3.13293818797629,2.87891617273497,1.2701100762066,9.31414055884843,7.62066045723963,1048,116875,1181,2.19465648854962,97.8053435114504,97.1139971139971,29.1278577476715,NA,8.9,5.8,17.8,2.5,9.21889787136343,31.8181818181818
51700030400,Census Tract 304; Newport News city; Virginia,-76.42075775,36.98413518,4467,95.343631072308,2.46250279829863,86.075665995075,0.201477501678979,0.0895455563017685,0,0,6.51443922095366,4.65636892769196,2401,23676,4438,54.3940024989588,45.6059975010412,75.5232806492952,97.5374972017014,3.53218937069387,14.3,28.2,54.1,12.6,7.2781222467298,51.953125
51700030500,Census Tract 305; Newport News city; Virginia,-76.40886077,36.98799895,2132,96.3414634146341,4.54971857410882,88.1332082551595,0,2.3921200750469,0,0.891181988742964,0.375234521575985,3.65853658536585,1464,17250,2132,51.707650273224,48.292349726776,69.3659281894576,95.4502814258912,3.27307795182294,12.7,19.8,50.1,9.1,7.31936787644305,54.8571428571429
51700030600,Census Tract 306; Newport News city; Virginia,-76.41280693,36.99235648,1814,93.9911797133407,7.60749724366042,81.2568908489526,0,0,0,0,5.12679162072767,6.00882028665932,1243,20527,1782,50.201126307321,49.798873692679,62.6517273576097,92.3925027563396,3.5491492236651,14.8,27.8,54.3,14.2,7.32772716794222,48.1707317073171
51700030800,Census Tract 308; Newport News city; Virginia,-76.41883317,36.99817983,1731,99.1334488734835,8.89659156556904,81.8601964182554,0.577700751010976,0,0,0,7.79896013864818,0.866551126516464,1225,30411,1731,65.7959183673469,34.2040816326531,77.5431861804223,91.103408434431,NA,13.5,22.6,49.7,9.9,7.26018245427864,44.7058823529412
51700030900,Census Tract 309; Newport News city; Virginia,-76.42568202,37.00405986,2293,89.6641953772351,20.5843872655909,61.4478848669865,0,1.22110771914522,0,2.0497165285652,4.36109899694723,10.3358046227649,1445,30133,2293,58.4083044982699,41.5916955017301,81.9762845849802,79.4156127344091,NA,13.3,23.4,47.8,10.4,7.22090042193584,63.5555555555556
51700031100,Census Tract 311; Newport News city; Virginia,-76.44419795,37.00048604,3416,97.5117096018735,47.6288056206089,46.8091334894614,0.117096018735363,0.292740046838408,0,0.0585480093676815,2.60538641686183,2.48829039812646,2296,49020,3290,28.7456445993031,71.2543554006969,78.3908045977011,52.3711943793911,2.23010836267291,10.7,15.2,37.4,6.5,6.58785192030341,42.1212121212121
51700031200,Census Tract 312; Newport News city; Virginia,-76.43785188,37.0078876,2079,80.5675805675806,16.4021164021164,62.0490620490621,0,0.384800384800385,0,1.39490139490139,0.336700336700337,19.4324194324194,1568,38936,2027,51.8494897959184,48.1505102040816,84.2605156037992,83.5978835978836,NA,11.4,18.1,42.9,8.5,7.05108919260019,38.3939416246457
51700031300,Census Tract 313; Newport News city; Virginia,-76.42670215,37.01598263,4526,95.6473707467963,25.3424657534247,65.8197083517455,0.839593460008838,0,0,1.01634997790544,2.62925320371189,4.35262925320371,3039,28141,4428,56.071076011846,43.928923988154,69.4092827004219,74.6575342465753,NA,12.2,19.7,45.6,9.3,7.22005042425532,43.4870987236069
51700031400,Census Tract 314; Newport News city; Virginia,-76.45512366,37.03842863,5465,97.8408051235133,47.1912168344007,42.4153705397987,0.731930466605673,1.28087831655993,0,0,6.22140896614822,2.15919487648673,3741,34071,5353,45.2552793370756,54.7447206629244,79.2169657422512,52.8087831655993,NA,11.4,16.8,41,8.1,7.11228931512455,36.5217391304348
51700031500,Census Tract 315; Newport News city; Virginia,-76.47425042,37.04451989,5815,87.944969905417,63.3877901977644,13.5167669819433,0.0171969045571797,1.66809974204643,0,1.32416165090284,8.03095442820292,12.055030094583,4209,52039,5745,17.8189593727726,82.1810406272274,83.8256800233986,36.6122098022356,1.61505418133645,10.7,13.1,36,6.9,6.46296895942461,31.4638709008116
51700031602,Census Tract 316.02; Newport News city; Virginia,-76.46679886,37.0701235,5548,96.9178082191781,51.8385003604903,38.914924297044,0,0,0,0,6.16438356164384,3.08219178082192,3401,34094,5521,35.9306086445163,64.0693913554837,79.4232823068708,48.1614996395097,NA,10.9,16.6,37.8,8,7.06549816220668,38.5572139303483
51700031603,Census Tract 316.03; Newport News city; Virginia,-76.45332518,37.06886142,4757,96.0689510195501,33.7817952491066,59.3020811435779,0.105108261509355,0.273281479924322,0,0,2.60668488543199,3.93104898044986,3314,50049,4757,33.9770669885335,66.0229330114665,84.1880341880342,66.2182047508934,NA,11,15.3,38.6,5.8,6.93008909804086,28.042328042328
51700031604,Census Tract 316.04; Newport News city; Virginia,-76.45730362,37.05549505,2677,92.6783713111692,33.5076578259245,58.1621217781098,0,0.298841987299216,0,0.224131490474412,0.485618229361225,7.32162868883078,1882,35625,2677,44.4208289054198,55.5791710945802,83.2931242460796,66.4923421740755,NA,11.3,16.5,40.3,7.1,6.93008909804086,NA
51700031701,Census Tract 317.01; Newport News city; Virginia,-76.49922697,37.06974047,4296,90.2700186219739,63.5707635009311,21.2988826815642,0,2.02513966480447,0,0.488826815642458,2.88640595903166,9.72998137802607,1676,9538,2371,30.9665871121718,69.0334128878282,56.3969465648855,36.4292364990689,1,11.6,12.6,36.8,6.4,6.65942686705589,30.9987297040042
51700031702,Census Tract 317.02; Newport News city; Virginia,-76.49025579,37.07613248,4489,90.9556694141234,69.0799732679884,12.49721541546,0,1.84896413455112,0,0,7.52951659612386,9.04433058587659,2429,30052,3589,37.9168382050226,62.0831617949774,68.0532986675333,30.9200267320116,NA,11.1,13.1,35.8,5.7,7.12843652122495,32.4232081911263
51700031800,Census Tract 318; Newport News city; Virginia,-76.50538464,37.05765735,3565,96.0729312762973,87.5455820476858,4.23562412342216,0,0.504908835904628,0,2.32819074333801,1.4586255259467,3.92706872370266,2682,76473,3565,20.9545115585384,79.0454884414616,83.7254901960784,12.4544179523142,NA,9.2,9,30.4,6.1,6.22000301650518,24.0672255997191
