state_abbrev,state_desc,county_name,tract_fips,total_population,lack_insurence_prev,binge_drinking_prev,high_bp_prev,cancer_prev,adult_asthma_prev,heart_disease_prev,routine_physical_prev,copd_prev,smoking_prev,diabetes_prev,high_chol_prev,physical_activity_prev,adult_obesity_prev,poor_sleep_prev,stroke_prev,geolocation
MD,Maryland,Prince George's,24033801212,3091,13.4,10.6,42.4,6.1,10,5.4,80.2,5,11.9,14.1,35.1,23.6,37.6,40.9,3.6,POINT (-76.91503759 38.79283398)
MD,Maryland,Baltimore,24005403702,5014,8.8,16.2,30.7,5.8,9.8,4.5,75.8,4.4,12.3,7.9,29.1,19.3,30.4,32.1,2.3,POINT (-76.75653508 39.39353733)
MD,Maryland,Allegany,24001001401,4110,7.7,13.9,37.9,8.8,9.4,6.8,79.2,6.3,12.7,10.1,33.5,20.2,29.8,29.7,3,POINT (-78.83634847 39.64400178)
MD,Maryland,Baltimore City,24510260604,1465,22,15.1,41.5,4.5,14.6,6.8,78.1,10.9,32.1,15.7,30,38,44.3,43.6,5,POINT (-76.53884768 39.27865997)
MD,Maryland,Cecil,24015030506,8223,12.6,16.9,33.2,5,10.4,4.7,72.3,6.3,20.8,9.1,30.3,26.1,39.4,37.7,2.6,POINT (-75.80377999 39.61673268)
MD,Maryland,Howard,24027606704,7072,10.2,12.6,32.4,5.7,9.3,4.7,76,4.6,11.6,9.6,32.2,19.8,29.6,34.1,2.5,POINT (-76.84050321 39.19086147)
MD,Maryland,Baltimore,24005430700,5009,10,17.7,29,6,9.6,4.7,73.4,5.1,15.3,7.1,30.2,20.4,29.1,31.6,2.3,POINT (-76.70235057 39.24108249)
MD,Maryland,Anne Arundel,24003750801,5849,9.5,17.1,32.6,6.6,9,5.7,75,5.7,14.5,8.7,33.2,20.2,31.7,33.2,2.5,POINT (-76.64236058 39.183726)
MD,Maryland,Prince George's,24033806400,3411,8,13.7,29.3,6.2,8.2,4.5,73.8,4,7.8,8.3,33.9,14.9,27.1,30.7,2.1,POINT (-76.94598071 38.97510571)
MD,Maryland,Anne Arundel,24003740601,3661,10.1,20.7,20.9,2.4,9.4,1.9,70.8,2.5,13,4.7,19.9,16.3,32.9,36.3,1.1,POINT (-76.7573526 39.12267717)
MD,Maryland,Washington,24043001001,4941,11.6,13.8,37.1,7.3,10.9,7.1,77.9,7.7,19.1,11,33.9,27.5,36.2,34,3.4,POINT (-77.74356455 39.61953574)
MD,Maryland,Anne Arundel,24003702204,4169,6.4,16.8,30.3,6.7,8.4,4.7,75.9,4.2,10,7.5,33.4,15.1,29.3,30.3,2,POINT (-76.69083982 38.99568605)
MD,Maryland,Montgomery,24031700616,4497,7.2,12.6,25.6,5.5,7.4,3.8,72.9,3.2,7.2,7.2,34.2,13.4,18.4,28,1.8,POINT (-77.25092919 39.10958433)
MD,Maryland,Baltimore,24005491701,4180,8.5,15.4,30.4,6.5,9.4,4.6,76.5,4.3,11.5,7.5,30.9,18.5,28.4,31.3,2.2,POINT (-76.54537448 39.4053112)
MD,Maryland,Frederick,24021751201,4757,7.6,16.2,29.4,6.5,9.1,4.7,76,4.1,9.5,8.7,33.5,16.1,29.9,29.9,2.1,POINT (-77.42665137 39.45219088)
MD,Maryland,Baltimore City,24510070300,1042,18.1,14.7,45.1,4.3,13.5,5.9,81.3,7.7,26.6,16.6,29.5,33.3,44.1,45.9,4.8,POINT (-76.58591219 39.29945775)
MD,Maryland,Harford,24025303204,4584,7.8,15.4,33.5,7.5,9.4,5.6,78.1,5.5,12.9,8.4,33.9,18.1,30,30.1,2.5,POINT (-76.38722021 39.56499252)
MD,Maryland,Anne Arundel,24003706401,6442,20,16.2,31.8,4.7,9.7,5.2,73.1,5.8,16.8,10.1,29.2,27.2,36.5,36.1,2.8,POINT (-76.50282545 38.96064255)
MD,Maryland,Montgomery,24031703220,4975,15,10.4,34.9,7,9.2,6.5,76.3,5.8,11,11.4,35,23,24.6,32.6,3.7,POINT (-77.05562531 39.09830435)
MD,Maryland,Howard,24027602306,5220,6.6,11.6,31.3,7.4,8.1,5,76.8,4.1,8.1,8.5,34.9,16.3,23.9,29.7,2.3,POINT (-76.83070035 39.26160589)
MD,Maryland,Baltimore City,24510250500,5468,18.7,18,37.9,4.9,13.1,6.4,75.3,9.8,30.6,12.8,31,31.5,38.3,40.6,4.1,POINT (-76.57022966 39.21508482)
MD,Maryland,Howard,24027602202,5306,6.7,11.8,32.1,7.6,8,5.4,77,4.3,8.6,8.7,35.9,16.5,24.2,29.7,2.4,POINT (-76.84037308 39.28676219)
MD,Maryland,Baltimore,24005400701,2789,9.1,16.7,27.9,4.9,9.6,3.6,74.5,3.7,12.8,6.9,27.1,18.8,29.6,33.3,2,POINT (-76.72668128 39.28467751)
MD,Maryland,Howard,24027606904,3977,9.3,13.7,27.9,3.9,9.4,3.2,74.5,3.4,11.6,7.7,28.1,18.2,29.8,36,1.8,POINT (-76.83223791 39.12317092)
MD,Maryland,Frederick,24021750600,2677,7.2,16.1,28.4,7,9.7,5.2,76.7,4.6,8.7,8.2,32.7,16.1,27.1,27.9,2.2,POINT (-77.42285317 39.41951113)
MD,Maryland,Montgomery,24031701423,4614,13.3,12.1,28.3,3.6,9.9,3.3,74.1,3.6,11.8,8.5,27.6,19.5,27.3,36.8,2.2,POINT (-76.93764353 39.08879042)
MD,Maryland,Anne Arundel,24003750102,2533,13.2,16.6,33.7,5.8,10.3,6,74.5,6.9,19,9.5,31.4,25,35.6,36.5,2.9,POINT (-76.61872287 39.23160629)
MD,Maryland,Talbot,24041960100,4495,10,17,33.4,7.6,9.2,6.2,78.1,6.5,15.1,9.9,34.5,21.2,33,29.2,3,POINT (-76.0107928 38.86460093)
MD,Maryland,Garrett,24023000500,4051,8.3,15,36.3,7.8,9.5,7,77.2,6.7,14.1,10.5,35.8,21.8,31.5,31.5,3,POINT (-79.30941576 39.5185958)
MD,Maryland,Baltimore City,24510150500,1543,17.9,11.8,54.3,6.6,14.2,9.1,84.5,10.8,26.5,22.6,34.9,37.8,45.8,45.7,7.6,POINT (-76.65871421 39.32077001)
MD,Maryland,Baltimore City,24510260605,4795,20.5,16.6,41.1,6.4,12.4,8.8,76.2,12.1,28.9,15.3,35,34.2,38,38.1,5.2,POINT (-76.54759171 39.26607766)
MD,Maryland,Carroll,24013509002,2908,7.8,16.2,32.8,6.9,9.1,5.3,77.5,5.6,14,9,35.6,18.1,31,27.4,2.4,POINT (-77.09332908 39.43719384)
MD,Maryland,Baltimore,24005440300,2214,11.5,16,30.7,5.6,10,4.8,74.8,4.9,15.1,7.9,28.3,22.9,30.4,34,2.6,POINT (-76.51258939 39.37750492)
MD,Maryland,Montgomery,24031701216,4157,9.3,13.1,24.1,5.4,7.7,4.1,70.8,3.4,7.8,6.5,29.8,14.5,18.6,28.6,1.9,POINT (-77.11452005 39.04906804)
MD,Maryland,Montgomery,24031704501,3592,6.9,12.4,27.1,7.5,7.2,4.8,74.5,3.2,5.8,7,35.1,12.6,17.7,25.5,2,POINT (-77.1341654 39.01775928)
MD,Maryland,Prince George's,24033803525,2404,14.3,12,34.4,3.6,11,3.2,77.7,3.7,13.7,10.4,26.4,23.2,39.1,44.4,2.6,POINT (-76.86341137 38.91051543)
MD,Maryland,Anne Arundel,24003731004,4258,6.8,17.6,28.9,6.2,8.7,4.4,75.1,4.1,10.7,7.1,31.4,15.3,30.2,31.1,1.9,POINT (-76.45556807 39.04343636)
MD,Maryland,Montgomery,24031701211,6651,9.3,12.8,24.6,4.8,7.7,3.6,71.5,3.2,8.3,7.1,31.3,14.8,19.5,29.8,1.8,POINT (-77.15245189 39.10822549)
MD,Maryland,Baltimore,24005492600,3506,9.4,15.4,31.9,5.8,10.2,4.9,75.7,5.4,15,8.7,31.3,21.7,31.3,33.2,2.5,POINT (-76.52534756 39.4182523)
MD,Maryland,Montgomery,24031702800,4620,8.5,14.2,25.3,5.3,8.5,3.7,72.4,3.1,7.5,6.7,30.1,13,21.2,29,1.9,POINT (-77.04321454 39.00603218)
MD,Maryland,Anne Arundel,24003701300,7906,7.7,15.8,34.9,7.3,8.8,6,77.1,5.5,12.3,9.3,35.6,18.4,31.7,31.6,2.6,POINT (-76.64085141 38.88952942)
MD,Maryland,Montgomery,24031705100,5090,5.6,11.5,30.8,9.2,7.6,5.8,77,3.9,5.4,7.7,38.3,12.1,18.5,24.5,2.4,POINT (-77.07061547 38.99675016)
MD,Maryland,Montgomery,24031700819,6651,13.1,14.9,23.8,4.1,8.7,3.3,70,3.4,10.9,6.9,28.7,16.7,23.2,32.6,1.8,POINT (-77.24930788 39.1673288)
MD,Maryland,Baltimore City,24510090800,3073,19.6,12.7,51.7,5.4,14.8,8.2,83.1,10.6,29.8,21.3,32.9,38.5,46.8,46.9,7,POINT (-76.60366785 39.31549188)
MD,Maryland,Anne Arundel,24003731306,6293,8.1,17.1,32.8,6.9,8.9,5.7,75.6,5.6,13.7,8.5,34.6,18.6,31.5,32.2,2.4,POINT (-76.48250196 39.14141543)
MD,Maryland,St. Mary's,24037876001,4713,13.7,14.7,35.4,4.5,11.4,5,76.6,6.1,21.1,11.1,30.3,27.5,42.3,41.2,2.9,POINT (-76.47631302 38.27068255)
MD,Maryland,Frederick,24021752303,2640,8.6,17.6,29,6,9.4,4.5,74.4,4.6,12.7,8.5,33.9,17.8,31.4,31.2,2.1,POINT (-77.49845139 39.31127664)
MD,Maryland,Prince George's,24033802600,3280,17.5,10.8,43,4.7,11.3,5.3,79.2,5.9,17.1,15.3,32.2,29.2,42.9,45.6,4.1,POINT (-76.92417282 38.87559717)
MD,Maryland,Montgomery,24031704200,2213,7.6,13.4,27.4,7.2,8,4.8,73.6,4,7.5,7,34.9,13.1,19.9,26.8,2.1,POINT (-77.07364471 39.02645156)
MD,Maryland,Charles,24017851200,4886,10.9,13.3,41.1,7.1,10.3,7.2,79.3,8.2,19.5,12.9,38.2,26.9,39.7,36.7,3.6,POINT (-76.91406529 38.34425542)
MD,Maryland,Caroline,24011955201,3773,12.6,15,34.7,6,11.1,5.9,78,7.4,19.7,11.4,33.5,26.4,38.6,35.7,3.2,POINT (-75.87715314 38.96181942)
MD,Maryland,Carroll,24013504100,5120,7.5,16,32.9,7.4,8.9,5.4,77.7,5.4,13.4,8.8,36,17.4,30,27.1,2.4,POINT (-76.89701037 39.53235633)
MD,Maryland,Baltimore City,24510261000,3253,21.6,18.9,33.2,3.7,12,4.8,74.1,6.8,25,11.4,27,29.5,38.2,39.6,3.2,POINT (-76.57086156 39.29355581)
MD,Maryland,Howard,24027606601,2875,7,12,35.1,7.6,8.7,5.4,78.1,4.5,8.8,10.1,36.4,16.6,27.9,31,2.6,POINT (-76.83330201 39.22433962)
MD,Maryland,Worcester,24047950400,2975,8.4,15.2,36.7,7.8,8.9,6.3,77.2,6.1,14.3,9.9,37.5,21.1,31.3,27.9,2.8,POINT (-75.12369609 38.34845448)
MD,Maryland,Baltimore City,24510270301,3148,10.2,16.2,40.1,6.6,10.9,5.8,80.8,5.5,15.7,12.7,32.3,21.4,34.3,37.2,3.6,POINT (-76.57228054 39.34879076)
MD,Maryland,Wicomico,24045010200,6142,17.8,10.9,51.4,6.2,13.5,8.2,83.6,9.5,22.6,19.9,35.8,35.1,48.2,42.6,6.2,POINT (-75.61545832 38.40083688)
MD,Maryland,Prince George's,24033800607,5882,10.3,11.1,39.3,5.3,10,4.1,80.4,3.7,10.1,12.2,32.5,19.6,37.6,41.1,2.9,POINT (-76.77571292 38.85396013)
MD,Maryland,Baltimore,24005408200,1853,6.4,14.8,33.7,8.4,8.6,5.6,77.8,4.7,10,8.4,36.7,16.7,26.9,27.8,2.4,POINT (-76.70055602 39.52555727)
MD,Maryland,Baltimore City,24510140300,2333,14.7,14.8,45.2,5,13,6,82.1,6.8,22.3,16.3,30.7,28.6,42.2,44.2,4.6,POINT (-76.63618426 39.30776316)
MD,Maryland,Baltimore City,24510230300,1136,6.9,25.6,20.5,3.9,8.9,2.7,70.7,2.7,10.7,4.6,22.8,11.4,24.5,29.3,1.3,POINT (-76.6151492 39.26607571)
MD,Maryland,Anne Arundel,24003730800,2456,5.3,14.6,34.9,8.8,8.2,6.2,78.9,4.7,8.4,8.7,37.5,15.1,28.6,28.2,2.4,POINT (-76.51577592 39.03223082)
MD,Maryland,Dorchester,24019970300,4715,10.3,14.5,38.4,7.9,9.8,6.9,79.9,7.5,16.9,11.9,35.3,24.3,36.4,31.9,3.4,POINT (-75.94065029 38.5663321)
MD,Maryland,Baltimore,24005451803,4750,10.2,18.3,28.1,5.2,10,4.1,73.3,4.7,15.9,6.8,28.6,20.2,30.9,33.3,2,POINT (-76.38021153 39.32915998)
MD,Maryland,Prince George's,24033800504,4660,9.5,12.8,33.9,7.4,8.5,5.4,76,4.9,9.8,9.8,36.3,17.9,29.5,32.9,2.6,POINT (-76.71793 38.97115618)
MD,Maryland,Kent,24029950100,3838,11.4,15.5,36.2,7.2,10.2,6.6,75.5,7.1,16.8,10.8,34.4,22.2,31.7,33.9,3.2,POINT (-75.83284673 39.30897788)
MD,Maryland,Montgomery,24031701005,3337,7.9,13.2,25.4,6.2,7.6,4.2,72.5,3.4,7.5,6.7,33.2,13.4,18.7,27.7,1.9,POINT (-77.16353007 39.08289885)
MD,Maryland,Baltimore City,24510270801,4051,11.8,15.9,39.6,4.9,11.9,4.5,81.3,5.1,17.9,12.4,28.9,23.2,38.5,41.7,3.3,POINT (-76.59117802 39.36920141)
MD,Maryland,Washington,24043000200,3974,10.5,14,36.4,7.6,10.3,6.6,78.2,6.7,16.7,10.3,34,24.9,34.6,33.1,3.1,POINT (-77.71898395 39.6614237)
MD,Maryland,Prince George's,24033801312,3757,14.1,10.2,41.9,6,10,5.5,79.4,5.2,12.5,14.4,35.5,24.7,36.5,40.6,3.8,POINT (-76.98113256 38.71862925)
MD,Maryland,Montgomery,24031703800,2943,12.1,13.9,23.8,3.7,8.5,3.1,71.1,2.8,8.6,6.9,27,15.6,23.8,31.5,1.7,POINT (-77.05410638 39.03709783)
MD,Maryland,Montgomery,24031700813,5626,15,12.8,28.7,5.4,8.7,4.8,72.5,4.6,11,8.9,32.6,19.6,24,31.9,2.5,POINT (-77.21391733 39.17224102)
MD,Maryland,Baltimore City,24510130804,1955,9.6,22.3,27,5.1,10.1,4.2,72.8,5.1,16.9,7.2,28.1,17,28.3,32.3,2.1,POINT (-76.63838752 39.33126621)
MD,Maryland,Baltimore City,24510271501,4183,5.8,19.1,29.6,7.1,9,4.4,77,3.8,9.8,7.5,31.9,13,25.6,29,2,POINT (-76.66152022 39.364929)
MD,Maryland,Baltimore,24005402506,4304,11.4,12.5,40.1,6,10.7,4.8,81.4,4.5,13.6,11.4,31.1,24,36.6,38.3,3.2,POINT (-76.79895927 39.3768226)
MD,Maryland,Baltimore City,24510272003,5817,9.1,17.7,35.5,6.9,10.2,5.7,78.5,5.5,14.3,10.5,32,19.1,30.1,33.5,3.1,POINT (-76.685448 39.36330613)
MD,Maryland,Howard,24027601103,5763,6.9,13.6,27.4,5.7,8.1,3.7,74.5,3.3,9,7.2,31.6,15,25,31.2,1.8,POINT (-76.76766002 39.20563079)
MD,Maryland,Harford,24025301402,2398,9.1,15.3,34.8,6.5,9.9,5.5,77.9,5.7,15,9.4,33.4,19.8,32.9,32.5,2.6,POINT (-76.33514709 39.40414631)
MD,Maryland,Baltimore City,24510280401,3565,11.4,14.7,44.1,6.1,11.9,5.6,82.8,5.9,17.5,14.7,32.2,24.1,38.7,41,4,POINT (-76.70218310999999 39.29698211)
MD,Maryland,Baltimore,24005408800,2304,7.4,14.4,33.1,8.2,8.9,5.7,77.3,5,11,8.2,34.5,18.6,26.9,29,2.6,POINT (-76.62858773 39.42733623)
MD,Maryland,Baltimore City,24510190300,2586,22.7,14.6,47.9,4.9,14.5,8.7,78.7,13.2,36.7,19.5,33.5,41,45.7,45.4,6.5,POINT (-76.64442879 39.28397667)
MD,Maryland,Montgomery,24031705901,4226,5.7,10.7,31.3,9.3,7.2,6,77.4,3.8,5.2,8,39.3,12.6,17.7,24.2,2.4,POINT (-77.14146682 38.99551437)
MD,Maryland,Baltimore City,24510120300,3552,10.6,18.7,34.7,4.4,11.1,4.3,77.7,4.7,16.6,10.8,27.7,20.1,34.8,37.8,2.9,POINT (-76.61246444 39.31989393)
MD,Maryland,Baltimore,24005421300,3289,16,12,45.3,6.1,12.5,7,80.5,7.8,21.8,15.4,32.7,34.4,41.7,41.4,5.1,POINT (-76.50953513 39.23727809)
MD,Maryland,Prince George's,24033803300,4337,18.5,11.4,39.6,4.6,10.6,4.7,77.7,4.9,14.7,13.8,31.5,27,40.3,43.5,3.6,POINT (-76.89144278 38.91722943)
MD,Maryland,Baltimore,24005420500,3575,14.7,15.4,35.5,7.2,10.3,7.1,74.6,7.8,19.7,10,34,28,32.1,33.1,3.5,POINT (-76.52623593 39.28887187)
MD,Maryland,Montgomery,24031701704,2810,11.5,13.1,29.8,5.6,9.1,4.5,73.5,4.4,10.7,8.8,32.6,17.2,24.7,31.6,2.5,POINT (-76.99826021 38.97510794)
MD,Maryland,Worcester,24047951700,3281,9.2,13.7,41.5,8.9,9.2,7.9,78.7,7.8,16.1,12.1,40.1,24.6,32.8,28.6,3.6,POINT (-75.15092534 38.28667584)
MD,Maryland,Baltimore,24005490302,3668,8.3,14.9,29.4,8.2,9.4,6,77.3,4.6,8.3,7.1,29.3,19,22,27.2,2.7,POINT (-76.58677837 39.40701316)
MD,Maryland,Baltimore City,24510280102,6045,13.1,12.6,50.3,6.9,12.4,7.3,84.9,7.2,18.4,18.7,34.3,28.5,40.9,42.3,5.6,POINT (-76.70007611 39.34113993)
MD,Maryland,Frederick,24021752802,3550,8,17.2,30.3,6.8,9.4,5,75.1,5.1,12.4,8.8,35.4,17.8,30.9,30.2,2.3,POINT (-77.57712475 39.53806313)
MD,Maryland,Cecil,24015030905,2859,11.8,17.3,34.6,5.9,10,5.5,72.2,7,21.5,9.3,33.5,25.8,38.3,36.3,2.7,POINT (-75.99847086 39.63800336)
MD,Maryland,Baltimore City,24510250207,2059,17,14.5,43.6,4.4,14.1,5.6,81.8,7.4,25,15.9,28.2,32.4,43.6,45.4,4.8,POINT (-76.62654428 39.25377339)
MD,Maryland,Prince George's,24033800210,2882,16.7,12.9,31.4,3.1,11.1,3.1,74.7,4.1,15.3,9.6,25.6,24.4,39.5,43.1,2.4,POINT (-76.85526771 39.07693434)
MD,Maryland,Prince George's,24033801706,1522,14,11.7,38,4.5,10.6,4.1,78.5,4.4,13.3,12.2,30.7,23.2,38.9,43.5,3,POINT (-76.96040516 38.82325578)
MD,Maryland,Baltimore,24005404101,4150,8.3,15.7,30,5.7,9.6,4,76,3.8,11.8,7.4,29.2,17.9,30.6,32.7,2.1,POINT (-76.81882183 39.42064748)
MD,Maryland,Wicomico,24045000200,1897,10.7,16.5,36.6,6,10.2,5.7,77.6,5.9,15.8,10.4,33.3,20.3,36.6,33.7,3,POINT (-75.59649836 38.3732093)
MD,Maryland,Prince George's,24033801208,3644,11.2,11.2,38.8,5,10.1,4,79.9,3.9,11.1,12.1,32.2,20.5,37.9,42,2.9,POINT (-76.88833211 38.74289095)
MD,Maryland,Anne Arundel,24003730402,6136,12.7,16.7,31.9,5.7,9.5,5.4,74.5,5.6,15.5,8.8,30.7,22.4,33.3,34.9,2.6,POINT (-76.61666966 39.14452041)
MD,Maryland,Prince George's,24033806601,4636,31.9,14.2,29.2,3.2,9.7,3.9,68.6,4.7,16.2,10.9,28.1,30.8,37.4,39.6,2.6,POINT (-76.91387396 38.9570339)
MD,Maryland,Prince George's,24033803520,4305,10.6,9.8,43.7,6.3,9.9,5.3,81.7,4.6,10.2,14.7,35.9,21.6,37.4,40.2,3.6,POINT (-76.81806358 38.93620295)
MD,Maryland,Carroll,24013505207,3683,7.1,18.9,24.2,4.9,8.8,3.1,74.2,3.4,12,5.9,28.5,14.2,28.5,27.4,1.5,POINT (-76.96728271 39.39773433)
MD,Maryland,Baltimore City,24510130100,2613,13.7,13.8,48.5,5.4,13.4,6.8,83.1,7.9,22.8,18.4,32.5,29.7,44.4,44.3,5.3,POINT (-76.63438691 39.31520093)
MD,Maryland,Montgomery,24031700834,4885,16.2,13.1,26.7,3.4,9.7,3.6,70.8,4.4,14.1,8.5,28,21.9,27,35.5,2.3,POINT (-77.23189829 39.18803906)
MD,Maryland,Baltimore,24005450501,4135,13.4,15.4,36,7,10.4,6.8,75.3,7.6,19.4,10,34.4,27,32.5,33.7,3.4,POINT (-76.45934247 39.30837501)
MD,Maryland,Baltimore City,24510180100,2200,23,11.6,53.9,4.8,17.3,8.7,83.4,14.1,38,23.9,32.2,46.8,52.6,50.4,8.4,POINT (-76.63077103 39.29166845)
MD,Maryland,Montgomery,24031700208,2218,11.5,14.8,27.5,6.3,8.6,5,71.1,5.1,11.9,7.4,34.5,16.9,22.2,29.6,2.3,POINT (-77.18903229 39.28768731)
MD,Maryland,Prince George's,24033802804,5466,14.1,10,43,5.2,11.4,5.1,81,5.3,13.8,15,32.2,25.8,41.7,44,4,POINT (-76.87895491 38.88070073)
MD,Maryland,Baltimore,24005401507,5129,14.6,12.8,35.4,4.4,10.6,4.3,77.3,4.7,16.9,10.6,28.2,27.7,35.1,39.1,2.9,POINT (-76.75462119 39.31338371)
MD,Maryland,Charles,24017850801,4714,10.5,13.7,38.5,6.3,10.1,5.5,79.6,6.1,16.8,11.4,35.7,24.1,39.1,37.8,2.9,POINT (-76.8596951 38.64910788)
MD,Maryland,Frederick,24021753002,2744,10.1,16.6,32.5,6.9,10.2,6,75,6.6,15.6,10,35.6,21.8,33.1,32,2.8,POINT (-77.39159215 39.63091591)
MD,Maryland,Dorchester,24019970600,4702,13.9,13.1,41.6,6.1,11.8,6.7,81.3,8,20.8,14.7,31.5,30.7,43.6,38.4,4.2,POINT (-76.09975014 38.55192718)
MD,Maryland,Montgomery,24031700722,4418,14.8,13.1,26.1,4.1,8.8,3.8,70.8,4,11.9,8.1,29.6,19.6,23.6,33.3,2.2,POINT (-77.21868034 39.15966032)
MD,Maryland,Prince George's,24033802103,3079,13.9,10.9,40.6,4.9,10.5,4.6,79.3,4.8,13.7,13.4,32.3,24.5,40.2,43.2,3.4,POINT (-76.89085419 38.84840338)
MD,Maryland,Charles,24017850101,5440,10.6,13.5,36.4,5.1,10.2,4.2,80.4,4.3,15,10.2,30.7,22.8,40.1,40.3,2.5,POINT (-77.08736868 38.65617068)
MD,Maryland,Washington,24043000602,3104,13.2,11.4,44.7,10,11,10.5,80.6,10.8,19.9,14.3,39,33,36.1,33.3,5,POINT (-77.71606443 39.61897735)
MD,Maryland,Frederick,24021752900,3066,10.3,16.8,33.6,7,9.9,6.4,75,6.9,15.8,10.5,36.8,22.2,33,31.8,2.9,POINT (-77.44894505 39.65900215)
MD,Maryland,Prince George's,24033804900,3879,18,11,40.3,5.7,10.3,5.7,78.1,5.3,13,14.4,33,26.5,37.3,40.9,4,POINT (-76.97747019 38.95088902)
MD,Maryland,Howard,24027602900,4123,8.2,12.4,25.5,4.7,7.8,3.3,73.5,2.9,8.6,7,28.4,16.5,22.6,32.3,1.7,POINT (-76.79617516 39.28283402)
MD,Maryland,Prince George's,24033801807,4685,14.7,10.9,41.6,4.9,10.8,4.7,79.9,4.8,14.1,13.9,31.6,25.3,40.7,44.3,3.6,POINT (-76.97184101 38.83668888)
MD,Maryland,Talbot,24041960501,4752,10.3,16.7,32.3,7.6,9,6,78,6,14.4,9.4,33.5,20.9,32.3,29,2.8,POINT (-76.05628613 38.80289844)
MD,Maryland,Calvert,24009860300,3932,8.5,15.3,32.6,6.6,9.7,4.9,75.9,5.3,14.3,9.3,34.9,18.6,35.2,35.4,2.5,POINT (-76.5778775 38.66329909)
MD,Maryland,Harford,24025302902,4549,12.4,13.9,39.6,6.1,11,6.4,79,7.3,19.3,12.1,33.4,26.1,37.9,36.6,3.5,POINT (-76.17455416 39.50093235)
MD,Maryland,Prince George's,24033800705,4213,10.8,11.8,37.1,5,9.9,3.8,79,3.8,11.1,11.1,31.8,19.6,37,40.9,2.6,POINT (-76.78081137 38.75810206)
MD,Maryland,Baltimore,24005441102,4859,11.4,13.7,37.8,7.9,9.9,6.7,78.2,6.4,14.8,10.6,35,24.4,31.9,32.8,3.4,POINT (-76.52053499 39.32442185)
MD,Maryland,Baltimore,24005451000,1662,9,15.5,35.5,8.3,9.3,6.6,76.6,6.5,14.6,9.1,37.2,21.2,29.2,30,2.9,POINT (-76.41622385 39.27053968)
MD,Maryland,Anne Arundel,24003731105,3572,6.8,16.2,32.2,7.2,8.5,5.3,76.7,4.6,10.3,8.2,34.2,16.1,29.9,30.4,2.2,POINT (-76.51039923 39.06191228)
MD,Maryland,St. Mary's,24037875801,1014,13.1,20.9,21,1.8,10.3,2,69.9,3.2,19.1,4.4,18.9,20.7,37.5,39.4,1.1,POINT (-76.41997628 38.28180679)
MD,Maryland,Baltimore,24005401000,2409,7.6,13.5,37.5,9.2,9,6.6,79.1,5.3,10.7,9.9,36.4,20,28.2,29,3.2,POINT (-76.74442706 39.27230128)
MD,Maryland,Montgomery,24031701417,5596,12.5,13.3,25.2,3.2,9.7,2.7,72.4,3.1,11.3,7,24.9,17.8,26,36.2,1.8,POINT (-76.93835099 39.07706387)
MD,Maryland,Washington,24043010900,8188,10.3,15.2,34.3,7,9.9,5.9,76.8,6.2,17.7,9.3,33.8,23.6,34,33.2,2.6,POINT (-77.78595171 39.54305393)
MD,Maryland,Montgomery,24031704804,1508,6.4,14.9,21.8,6.1,7.4,3.5,70.9,2.5,5.1,5.2,30.1,10,17.3,25,1.5,POINT (-77.09362659 38.9834095)
MD,Maryland,Carroll,24013505102,5156,7,16.3,31.5,7.3,8.8,5.1,77.6,5,12.2,8.3,35.2,16.2,29.1,26.3,2.3,POINT (-76.91416002 39.41834185)
MD,Maryland,Prince George's,24033802107,3560,16,12.1,34.8,3,11.8,3,77.4,4.1,16.4,10.4,25.4,25.3,41.7,46.4,2.6,POINT (-76.90264624 38.84269462)
MD,Maryland,Frederick,24021775600,3803,6.8,19,24.6,5.2,9.2,3.3,73.4,3.4,10.1,6.7,30.6,14.1,29.9,30,1.6,POINT (-77.33410792 39.4234563)
MD,Maryland,Prince George's,24033805500,3628,30,13.5,30.7,3.5,9.7,4.4,69.5,5.1,16.3,11.9,29.7,30.9,37.5,39.2,2.9,POINT (-76.98164315 38.97958117)
MD,Maryland,Anne Arundel,24003708001,3873,7.5,16,34.6,7.4,8.8,6.1,77,5.6,12.5,9.2,35.7,18.4,31.8,31.9,2.6,POINT (-76.58638857 38.75160407)
MD,Maryland,Baltimore City,24510080302,2937,14.9,12.2,51.8,7,12.9,8.1,84.9,8.2,20.6,19.9,34.3,31.7,42.1,43.4,6.3,POINT (-76.57641877 39.30588864)
MD,Maryland,Prince George's,24033803612,3144,18.6,12.1,35,3.6,11.3,3.8,75.6,4.8,16,11.8,28.4,26.6,40.2,43.3,3,POINT (-76.87611996 38.95062407)
MD,Maryland,Baltimore,24005403401,3336,8.5,10.6,42.6,11.3,9.3,8.3,82.6,6.2,9.5,11.3,37.6,22.9,28,29,4.1,POINT (-76.73212927 39.37605127)
MD,Maryland,Montgomery,24031701201,6012,13.4,13.8,24.7,5.1,7.6,4.1,70.3,3.6,9.3,7.4,31,17.1,20.6,29.6,2,POINT (-77.0967585 39.04948982)
MD,Maryland,Cecil,24015030400,4901,15.9,14.7,41.6,5.9,11.5,7.6,74.2,10.6,27.6,13.5,34.3,35.5,45,39.8,4.4,POINT (-75.83568824 39.60895525)
MD,Maryland,Montgomery,24031700818,6078,17.6,13.7,24.1,2.8,9.6,3,69.1,3.9,14.6,7.2,25.1,21.8,26.3,35.7,1.9,POINT (-77.2596597 39.17406347)
