state_abbrev,state_desc,county_name,tract_fips,total_population,lack_insurence_prev,binge_drinking_prev,high_bp_prev,cancer_prev,adult_asthma_prev,heart_disease_prev,routine_physical_prev,copd_prev,smoking_prev,diabetes_prev,high_chol_prev,physical_activity_prev,adult_obesity_prev,poor_sleep_prev,stroke_prev,geolocation
VA,Virginia,Arlington,51013101801,2662,6.4,24.7,13.4,2.7,7.5,1.5,68.8,1.5,6.8,3,19,8.5,23.3,27.1,0.7,POINT (-77.09261523 38.88534066)
VA,Virginia,Chesapeake,51550021301,5396,10.6,16,31.4,5.7,9.3,4.5,77.1,4.8,15,10,31.1,20.6,36.1,34.9,2.3,POINT (-76.42199947 36.66591341)
VA,Virginia,Richmond City,51760010700,2338,16.5,13.3,46.3,6,11.7,6.4,81.2,6.4,17.4,17.1,32,27,40.2,39.4,4.7,POINT (-77.42999783 37.57426623)
VA,Virginia,Fairfax,51059451200,1699,7.1,14.2,32.2,8.7,7.7,5.7,77,4.5,7.8,8.9,37,13.7,21.6,27.7,2.4,POINT (-77.16230367 38.85101308)
VA,Virginia,Norfolk,51710002200,1905,7.3,16.7,29.8,7.1,9,4.7,76.6,4.4,11.5,7.8,30.7,14,29.9,32.5,2.2,POINT (-76.28008644 36.89700155)
VA,Virginia,Loudoun,51107611013,3956,9.3,16,23.7,4.5,8.4,3.2,71.6,3.3,11.1,6.7,27.6,14.7,28.1,32.6,1.5,POINT (-77.48895491 39.05561723)
VA,Virginia,Henrico,51087200129,11764,7.4,16.4,23.8,4.6,7.6,2.8,73.9,2.8,10.1,6.5,26.7,14.3,27.2,32.7,1.4,POINT (-77.60425885 37.67732259)
VA,Virginia,Powhatan,51145500102,5519,10.1,17.7,32,6.4,9.1,5.1,75.7,5.6,16,8.8,31.6,18.4,32.7,33,2.4,POINT (-77.82622589 37.47511909)
VA,Virginia,Fauquier,51061930204,3367,9.5,15.7,36,7.6,9.1,6.2,77.5,6.5,14.9,10.5,36,19.4,30.7,32.7,2.9,POINT (-77.90805028 38.78327028)
VA,Virginia,Hanover,51085320801,2577,9,16.1,34.5,6.9,8.7,5.3,78,5.1,13.6,9.6,34.2,17.9,36,32.4,2.5,POINT (-77.43534471 37.72109533)
