"fips","asthma_prev","asian","hispanic","area_sqmi","uninsured","limited_english","unemployment","single_parent","house_age","mobile_homes","two_or_more","walkability","crowded_housing","park_proximity","road_proximity","toxic_poximity","percent_in_flood_zone","ozone"
24001002000,12.3,3.14743235781336,0,26.804966098344,203,0,13,90,77.17,182,2.85293576293024,7.22,0,3.87,58.84,10.28,8.36871392376527,0
24001002100,12.2,0.829426613775694,3.10133429498738,24.180804550244,152,0,106,53,83.24,65,1.08186080057699,7.17,3,26.01,0,19.61,1.20008323508642,0
24001002200,12.2,0.239936017062117,1.27965875766462,23.224168119088,166,0,78,51,81.26,14,0.0799786723540389,7.22,29,3.01,31.11,13.43,2.9002318064445,0
24003701101,9.9,0.516553181498004,5.63512561634186,2.829618391462,78,7,66,9,44.67,0,4.36722235266495,10.04,20,24.9,0,46.56,18.9585413649445,3.67
24003701400,11,0.499583680266445,8.85373300027755,21.29944038264,81,6,66,20,53.62,0,2.27588121010269,6.17,11,4.39,0,0.83,13.9314645555227,3.33
24003702100,10.6,2.58673158855752,6.23858794887401,8.707388906386,88,43,76,14,58.42,0,4.04747413268411,6.83,0,65.33,27.93,0,21.8102421028681,5.33
24003702204,10.1,1.8557130942452,9.52877397831526,0.975912187404,53,0,82,157,53.31,0,5.37948290241868,8.75,0,60.54,73.25,8.78,18.2858413979848,3.33
24003702205,10.3,5.9197738116275,2.59763209047535,1.79076424212,205,68,119,173,72.97,0,9.34794133239088,8,0,88.26,91.5,78.09,19.431708055466,3.33
24003702206,10.6,6.45676146256529,17.1067904817179,1.379892254412,147,14,112,239,56.66,0,4.17875798026698,5.89,39,83.06,10.71,0.86,5.79943577094248,3.33
24003702208,10.7,16.9165885660731,10.9184629803187,1.624440380866,354,291,276,303,21.02,0,1.92127460168697,8.75,35,15.29,78.09,15.07,1.4591216787467,3.33
24003702209,10.4,4.95619524405507,3.87984981226533,0.840418956952,51,14,62,60,5.14,0,2.72841051314143,9.44,7,97.9,100,54.19,2.82964638060384,3.33
24003702300,10.2,1.07980428547326,5.28091783364265,15.70377413571,69,17,89,79,60.2,0,2.24396828074911,6.46,0,24.93,62.23,0,7.14463646272538,3.67
