state_fips,state_name,state_abbrev,county_fips,county_name,fips,location,area_sqmi,total_pop,housing_units,num_households,poverty,unemployment,housing_cost_burden,no_highschool,uninsured,age_over_65,age_under_17,disabilities,single_parent,limited_english,minority,multi_unit_housing,mobile_homes,crowded_housing,no_vehicle,group_quarters
11,District of Columbia,DC,11001,District of Columbia,11001004801,Census Tract 48.01; District of Columbia; District of Columbia,0.122480048644,2852,1548,1434,456,130,166,165,131,417,289,178,49,57,1450,542,0,49,438,101
11,District of Columbia,DC,11001,District of Columbia,11001004802,Census Tract 48.02; District of Columbia; District of Columbia,0.111503554886,3224,1843,1645,611,109,355,421,174,325,450,238,101,190,2278,1045,0,37,697,36
11,District of Columbia,DC,11001,District of Columbia,11001004901,Census Tract 49.01; District of Columbia; District of Columbia,0.104968006332,3251,2034,1877,777,20,548,124,26,439,226,508,81,27,1520,1459,0,47,653,65
11,District of Columbia,DC,11001,District of Columbia,11001004902,Census Tract 49.02; District of Columbia; District of Columbia,0.101884209658,3355,2230,2167,522,90,438,33,105,141,290,97,58,17,1460,1657,0,0,1164,5
11,District of Columbia,DC,11001,District of Columbia,11001005001,Census Tract 50.01; District of Columbia; District of Columbia,0.077594532838,1936,1206,1108,80,13,53,47,11,130,120,103,0,0,513,531,0,1,604,49
11,District of Columbia,DC,11001,District of Columbia,11001005003,Census Tract 50.03; District of Columbia; District of Columbia,0.036346097872,1809,1234,1134,277,62,223,122,124,25,14,120,11,150,715,964,0,0,648,95
11,District of Columbia,DC,11001,District of Columbia,11001005004,Census Tract 50.04; District of Columbia; District of Columbia,0.055272817912,3891,2431,2260,1224,90,777,533,31,493,450,403,0,141,2287,2045,0,115,1276,9
11,District of Columbia,DC,11001,District of Columbia,11001005202,Census Tract 52.02; District of Columbia; District of Columbia,0.095093833784,2886,2215,2095,215,28,283,0,0,467,14,221,0,0,731,1398,0,16,1256,0
11,District of Columbia,DC,11001,District of Columbia,11001005203,Census Tract 52.03; District of Columbia; District of Columbia,0.036069262738,3278,2666,2296,513,37,377,25,182,352,258,286,0,86,1457,2498,65,93,1555,0
11,District of Columbia,DC,11001,District of Columbia,11001005302,Census Tract 53.02; District of Columbia; District of Columbia,0.04541910877,2538,1719,1577,221,0,332,0,102,137,289,84,0,0,783,1335,42,60,978,0
11,District of Columbia,DC,11001,District of Columbia,11001005303,Census Tract 53.03; District of Columbia; District of Columbia,0.065162048438,2637,2302,2033,305,39,436,0,142,452,82,172,0,0,765,1959,0,17,1304,17
11,District of Columbia,DC,11001,District of Columbia,11001005501,Census Tract 55.01; District of Columbia; District of Columbia,0.063609918398,1674,1587,1171,109,27,79,38,102,122,0,162,0,38,434,1364,0,30,566,2
11,District of Columbia,DC,11001,District of Columbia,11001005502,Census Tract 55.02; District of Columbia; District of Columbia,0.097028204804,2685,1706,1672,285,29,410,22,77,488,124,268,0,55,863,1213,0,16,884,192
11,District of Columbia,DC,11001,District of Columbia,11001005503,Census Tract 55.03; District of Columbia; District of Columbia,0.082370228476,1726,1496,1195,669,59,512,8,74,213,0,170,0,0,418,1496,0,0,715,0
11,District of Columbia,DC,11001,District of Columbia,11001005601,Census Tract 56.01; District of Columbia; District of Columbia,0.071548175518,2553,2209,1969,840,106,599,0,45,408,9,229,0,0,872,1938,0,62,1292,17
11,District of Columbia,DC,11001,District of Columbia,11001005602,Census Tract 56.02; District of Columbia; District of Columbia,0.105595422082,3530,2167,1850,507,82,564,0,37,816,109,372,0,149,1294,2167,0,110,921,928
11,District of Columbia,DC,11001,District of Columbia,11001005801,Census Tract 58.01; District of Columbia; District of Columbia,0.089942847002,1775,1509,1173,475,56,151,117,93,323,38,219,11,137,732,1446,0,7,678,203
11,District of Columbia,DC,11001,District of Columbia,11001005802,Census Tract 58.02; District of Columbia; District of Columbia,0.263509981776,2027,1704,1474,247,59,209,0,59,177,27,214,0,14,873,1584,0,17,759,37
